User,Tweet
Efe6620,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
TCSathiMudafa,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
ozer_songun,"RT @M5Dergi: Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kul…"
mstfsoy,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
muharikan,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
mehmeto66292919,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
mecidlazhamit,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
zeynosamur,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
fanatikilhan,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
manacar1,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
TRABZONOFLU3,"RT @HAVELSANResmi: Dünya Kupası Ampute Futbol Milli Takımımızın. Şampiyonları yürekten tebrik ederiz. 🏆⚽

Türkiye'nin gururu #BizimÇocuklar…"
NaneBatuhan,"RT @HAVELSANResmi: MİLGEM Projesi kapsamında Türk Deniz Kuvvetleri istedi, HAVELSAN üretti. 🇹🇷 

Hafif torpidolar ile kovanlarının gerçek z…"
NaneBatuhan,RT @HAVELSANResmi: #KAPGAN🤫 https://t.co/hyleGExmkK
Nuri28363304,"RT @M5Dergi: Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kul…"
utkuguler34,RT @HAVELSANResmi: #KAPGAN🤫 https://t.co/hyleGExmkK
ylmazgv00709433,"RT @GaziantepBeld: #GaziantepBüyükşehir ile @HAVELSANResmi arasında akıllı kamera protokolü imzalandı.

Hasan Celal Güzel Millet Bahçesi’nd…"
DaimaTek,"RT @M5Dergi: Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kul…"
yksel_gne,"RT @M5Dergi: Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kul…"
Efe6620,"RT @HAVELSANResmi: MİLGEM Projesi kapsamında Türk Deniz Kuvvetleri istedi, HAVELSAN üretti. 🇹🇷 

Hafif torpidolar ile kovanlarının gerçek z…"
alibenian,"RT @M5Dergi: Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kul…"
M5Dergi,"Türk torpidoları milli teknolojiye emanet

Türkiye, torpido ve kovanların en iyi şekilde görev yapmasını sağlamak amacıyla kullanılan Torpido Test Set'i yerli kabiliyetlerle üretmeye başladı. @HAVELSANResmi 

https://t.co/0PYZMmeGCQ"
trkdgl,"RT @HAVELSANResmi: MİLGEM Projesi kapsamında Türk Deniz Kuvvetleri istedi, HAVELSAN üretti. 🇹🇷 

Hafif torpidolar ile kovanlarının gerçek z…"
Affan812,"RT @Defence_Turk: 🔴🇹🇷SANCAR SİDA ilk testlerini başarıyla tamamladı

🔸HAVELSAN ve Yonca Onuk Tersanesi iş birliği ile geliştirilen SANCAR S…"
Arslansabanrt11,"RT @sahaistanbul: YONCA ONUK ve HAVELSAN tarafından geliştirilen Sancar, SİDA'ların buluşma noktası #SAHAEXPO'da!

🗓 25-28 Ekim 2022
📍 İFM…"
kursad_sagdoken,"RT @HAVELSANResmi: MİLGEM Projesi kapsamında Türk Deniz Kuvvetleri istedi, HAVELSAN üretti. 🇹🇷 

Hafif torpidolar ile kovanlarının gerçek z…"
